id;full_name;road_segment_wkt
605960802;;LINESTRING(174.74265 -36.77253,174.74245 -36.77232,174.74227 -36.77223,174.74211 -36.77219,174.74192 -36.77217)
606101973;Northern Mtwy;LINESTRING(174.74276 -36.77163,174.74251 -36.77115,174.74209 -36.77036,174.74182 -36.76983,174.74148 -36.76919,174.7411 -36.76845)
606024131;417;LINESTRING(174.7422 -36.77011,174.74162 -36.76919,174.74113 -36.76841,174.74102 -36.76829)
606033556;Northern Mtwy;LINESTRING(174.7411 -36.76845,174.74102 -36.76829)
606097430;Northern Mtwy;LINESTRING(174.74104 -36.76878,174.7408 -36.76831)
606104784;Northern Busway;LINESTRING(174.74227 -36.77009,174.74122 -36.76834,174.74056 -36.76696)
605972031;;LINESTRING(174.71445 -36.72399,174.71433 -36.72358)
606234560;;LINESTRING(174.71318 -36.72239,174.71328 -36.72234)
606092271;Northern Mtwy;LINESTRING(174.76053 -36.80397,174.76076 -36.80343,174.76097 -36.8029)
606092272;Northern Mtwy;LINESTRING(174.76041 -36.80389,174.76071 -36.80312,174.76082 -36.80283)
606115710;;LINESTRING(174.76097 -36.8029,174.76124 -36.80249,174.76154 -36.80169)
605975283;;LINESTRING(174.76054 -36.7965,174.7606 -36.79645,174.76069 -36.79643,174.76078 -36.79645,174.76084 -36.7965)
605995896;;LINESTRING(174.7613 -36.79767,174.76159 -36.79748)
606115704;Northern Mtwy;LINESTRING(174.76042 -36.79777,174.76016 -36.79744,174.76001 -36.79727)
606115705;;LINESTRING(174.76036 -36.7998,174.76055 -36.79957,174.76064 -36.7994,174.76066 -36.79913,174.76063 -36.79884,174.76049 -36.79833,174.76035 -36.79805,174.76017 -36.79772,174.76003 -36.79749,174.76001 -36.79727)
606115736;Northern Mtwy;LINESTRING(174.76057 -36.79767,174.76046 -36.79753,174.76028 -36.79732,174.76013 -36.79715)
606201010;Northern Busway;LINESTRING(174.7613 -36.79767,174.76076 -36.79714)
606209561;Northern Busway;LINESTRING(174.76182 -36.79828,174.76168 -36.79809,174.7613 -36.79767)
605965731;Northern Mtwy;LINESTRING(174.75021 -36.82148,174.75012 -36.82093,174.7501 -36.82073,174.75012 -36.82046)
606115319;Northern Mtwy;LINESTRING(174.75012 -36.82046,174.75012 -36.82008)
605946934;;LINESTRING(174.73713 -36.76255,174.73707 -36.76252,174.73701 -36.76252)
605999279;;LINESTRING(174.73695 -36.76264,174.73694 -36.76259,174.73697 -36.76255,174.73701 -36.76252)
606058651;;LINESTRING(174.73709 -36.76269,174.73715 -36.76265,174.73716 -36.76259,174.73713 -36.76255)
606079006;;LINESTRING(174.73709 -36.76269,174.73704 -36.7627,174.73698 -36.76268,174.73695 -36.76264)
606120683;;LINESTRING(174.75388 -36.81346,174.75401 -36.81332,174.75415 -36.81315,174.75425 -36.81296,174.75428 -36.8128,174.75428 -36.81259,174.75422 -36.81239,174.75402 -36.81214)
606120684;421;LINESTRING(174.75245 -36.81353,174.75255 -36.81354,174.75282 -36.81352,174.75322 -36.81333,174.75356 -36.81303,174.75402 -36.81214)
606120688;421;LINESTRING(174.75245 -36.81353,174.75224 -36.81349)
606116745;Northern Mtwy;LINESTRING(174.75107 -36.81505,174.75121 -36.81483)
605941937;Northern Mtwy;LINESTRING(174.72767 -36.75242,174.72676 -36.7515,174.72641 -36.75112,174.72615 -36.75083,174.72605 -36.75072,174.72602 -36.75069)
606092096;Northern Mtwy;LINESTRING(174.72754 -36.75247,174.72697 -36.7519,174.72652 -36.75143,174.72626 -36.75115,174.72601 -36.75087,174.72592 -36.75076,174.72586 -36.75069)
606092252;;LINESTRING(174.75148 -36.81486,174.75182 -36.81452,174.75201 -36.81435,174.75228 -36.81417,174.75253 -36.81402,174.75267 -36.81397,174.7529 -36.81389,174.75342 -36.81371,174.75368 -36.81359,174.75388 -36.81346)
606092269;Northern Mtwy;LINESTRING(174.75121 -36.81483,174.75139 -36.81459)
